jornada,dirección,correo,teléfono,horario de atención,nombre,idx,dane
"Mañana, Tarde, Nocturna",Carrera 18A # 187-75,insdiaquileoparrav1@educacionbogota.edu.co,6745973 - 6745973,8:00 a.m a 4:00 p.m.,Colegio Aquileo Parra,0,
Jornada única,km 13 de la vía Bogotá - Choachí,escdielverjonbajoe2@redp.edu.co,,,IED Colegio El Verjon,0,
"Mañana, Tarde",Calle 42 A Sur # 12 A - 27 Este,escdialtamirasuror4@educacionbogota.edu.co,2068596 / 3043999116,M y V 9:00 a.m. a 11:00 a.m. - 2:00 p.m. a 4:00 p.m.,Colegio Altamira Sur Oriental (IED),0,
"Mañana, Tarde",Calle 24A Sur No 1A- 95 Este,cedmontebello4@educacionbogota.edu.co,2067680 - 3002067382,8:00 a.m. - 4:00 p.m.,Colegio Montebello (IED),0,
"Mañana, Tarde",Diagonal 34 Sur # 2A-05 Este Barrio: Atenas.,,2069970,Lunes a Viernes de 8:00 am - 4:30pm.,Colegio Atenas (IED),0,
"Mañana, Tarde",Sede A Calle 31 D Bis Sur No. 2 - 24 Este,coldijosejoaquinca4@educacionbogota.edu.co,2065563,,Colegio Jose Joaquin Castro Martinez (IED),0,
"Mañana, Tarde",CL 43 B Sur N. 1 D - 03 Este,cedanibalfernande4@educacionbogota.edu.co,2068676 - 3644228,8:00 a.m. - 2:00 p.m.,Colegio Entre Nubes Sur Oriental (IED),0,
"Mañana, Tarde",Transversal 6b # 100c 55 sur,cedmonteblanco5@redp.edu.co,,8:00 a.m. - 4:00 p.m.,Colegio Diego Montaña Cuellar (IED),0,
"Mañana, Tarde",CL 81C SUR # 8A - 06 ESTE,cedgranyomasa5@educacionbogota.edu.co,3002068876,Lunes a viernes de 8:00 a. m. a 12:00 m. y de  2:00 p. m. a 4:00 p. m.,Colegio Gran Yomasa I. E. D.,0,"211850000051, 211850000051"
"Mañana, Tarde",Carrera 25Sur # 52 C - 92,coldimarcofidelsua6@educacionbogota.edu.co,7412113 / 2700366 / 7410022,L - V 7:00 a.m. a 4:30 p.m. en jornada continua.,Colegio Marco Fidel Suárez (IED),0,
"Mañana, Tarde",Calle 57Ñ sur # 75 F 27,cedmotorista7@educacionbogota.edu.co,6017795879,,Colegio Motorista (CED),0,"111001041599, 111001041599"
"Mañana, Tarde",Calle 57 sur #87H-03,colorlandohiguitaroj@educacionbogota.edu.co,7837318,administrativo 8:00 A.M. A 5:00 P.M.,Colegio Orlando Higuita Rojas (IED),0,
"Mañana, Tarde",calle 72 sur 100a71,iedcarlospizarroleon@educacionbogota.edu.co,7234592-93,En Secretaria  martes y jueves de 8am a 10am y de 2pm a 4pm,Colegio Carlos Pizarro Leongómez (IED),0,"111001104329, 111001104329"
"Mañana, Tarde",Carrera 88C # 66A-03 Sur,coldisjosefrancsoc@educacionbogota.edu.co,6017238530,6:15 A.m 6: 15 P.m.,Colegio Jose Francisco Socarras (IED),0,
"Mañana, Tarde",Carrera 84A # 57b04 sur,Coldeboraarangoperez@educacionbogota.edu.co,7330403-05,,Colegio Debora Arango Perez (IED),0,
"Mañana, Tarde",Calle 65H # 78A-03 Sur,cedluislopezdemes7@educacionbogota.edu.co,7750440,,Colegio Luis Lopez De Mesa (IED),0,
"Mañana, Tarde",Transversal 68 G # 35 A 42 Sur,coldicarlosarangov8@educacionbogota.edu.co,3043987997,L - V 8:00 a.m. - 4:00 p.m.,Colegio Carlos Arango Velez (IED),0,
"Mañana, Tarde",Cra 80 I Nro. 57 B 50 Sur,cedclass8@educacionbogota.edu.co,7764943 - 7774028 - 7770391,Secretaría Académica 8:00am - 4:00pm,Colegio Class (IED),0,
"Mañana, Tarde",Calle 38C sur # 73A - 93,ubaslasamericas8@educacionbogota.edu.co,4501089,L - V 8:00 a.m. a 12:00 m. / 2:00 p.m. a 5:00 p.m.,Colegio Las Américas (IED),0,
"Mañana, Tarde",Crr 73 A Bis B N 36 -47 sur,colfdosotoaparicio@educacionbogota.edu.co,(57+1) 4515930,8:00 a 12:00 / 14:00 a 16:00,FERNANDO SOTO APARICIO (IED),0,
"Mañana, Tarde",Calle 38c sur No 79-08,inemfranciscodepau8@educacionbogota.edu.co,2652285 - 2646508,,Colegio Inem Francisco De Paula Santander (IED),1,
"Mañana, Tarde",Dirección: Calle 35 C Sur # 78F - 81,cedprosperopinzon8@educacionbogota.edu.co,Lunes a Viernes 6;30 am a 4:00 pm,,COLEGIO PROSPERO PINZON IED,1,
